trip_uuid,isolation_anomaly,isolation_score,Anomaly,delivery_time_hours,actual_time,osrm_time,actual_distance_to_destination,osrm_distance,factor,segment_factor,is_cutoff,duplicate_flag,same_city
trip-153816218960151511,0,0.15207671122033461,Normal,-0.9666666666666667,440,216,243.0414658,295.5176,2.037037037,1.7,True,1,0
trip-153736839798997660,0,0.18525035089323133,Normal,,57,38,27.16372313,34.7886,1.5,1.222222222,True,0,0
trip-153720015972108444,0,0.17541584328126014,Normal,,238,109,144.0283721,155.3678,2.183486239,2.0,True,1,0
trip-153697108267651886,1,-0.0025956244947960005,Fraud,,1724,818,902.4852047,1130.9626,2.107579462,1.75,True,0,0
trip-153778368981951440,0,0.09228183453346683,Normal,-2.6933333333333334,999,563,682.6454177,782.8277,1.774422735,1.205882353,True,1,0
trip-153771663814650935,0,0.13369858534417506,Normal,,793,464,506.3332457,620.1297,1.709051724,1.3125,True,1,0
trip-153686723285930284,0,0.16390905952740104,Normal,,276,158,176.3766209,216.2252,1.746835443,2.3,True,1,0
trip-153815125628803935,0,0.11558343596847265,Normal,,764,471,572.7199083,623.8546,1.622080679,1.210526316,True,1,0
trip-153807805877901759,0,0.19410054029815127,Normal,,65,35,45.34492511,50.7266,1.857142857,1.842105263,True,1,0
trip-153785834163684464,0,0.12321986494302467,Normal,,894,381,396.240252,536.1104,2.346456693,1.764705882,True,1,0
trip-153738682262223442,0,0.08204498723009879,Normal,,1104,677,728.6263509,867.4329,1.630723781,0.4,True,1,0
trip-153834334049646174,0,0.10151514668455364,Normal,,50,51,16.06873539,42.6113,0.980392157,0.261538462,False,0,0
trip-153765483126993361,0,0.049238662791968424,Normal,,1898,790,903.5914546,1069.0022,2.402531646,1.421052632,True,1,0
trip-153782709152920993,0,0.18469801637285982,Normal,,118,80,88.03928617,108.365,1.475,1.684210526,True,1,0
trip-153727661995707913,0,0.13060221308897896,Normal,,110,58,40.05050162,46.6624,1.896551724,2.0,False,1,0
trip-153714551666313028,0,0.12053191393900675,Normal,,72,34,28.67440547,39.7217,2.117647059,3.5,False,1,0
trip-153793807615959201,0,0.03432756922132263,Normal,13.953333333333333,747,524,528.1539565,682.7554,1.425572519,0.84,True,1,0
trip-153721523979327592,0,0.16091033046970438,Normal,,312,177,220.2199707,247.3617,1.762711864,1.909090909,True,1,0
trip-153741570846660098,0,0.16977009373879415,Normal,,164,55,66.81735297,77.3838,2.981818182,2.625,True,1,0
trip-153673177622009920,0,0.11155627584330519,Normal,,29,18,12.10678742,17.8243,1.611111111,0.214285714,False,0,0
trip-153688697864318554,0,0.03274382598479031,Normal,,668,417,506.107409,570.6874,1.601918465,1.238095238,True,0,0
trip-153744850923460655,0,0.12215985257587847,Normal,5.03,262,179,132.2179731,206.7365,1.463687151,0.634146341,True,1,0
trip-153853802323338798,0,0.09577379159983784,Normal,,1304,714,858.0240099,1007.5551,1.826330532,1.421052632,True,1,0
trip-153790339081089293,0,0.11906337828986713,Normal,,60,17,19.74718178,23.4557,3.529411765,5.571428571,True,0,0
trip-153794496234909575,0,0.18040190700108233,Normal,,72,36,44.58407427,49.2097,2.0,2.222222222,True,0,0
trip-153706931965332853,0,0.16588033875407665,Normal,,43,15,18.75494147,21.1792,2.866666667,2.166666667,True,0,0
trip-153746130028342387,0,0.15862566270879852,Normal,,405,183,205.4345548,239.5237,2.213114754,1.821428571,True,1,0
trip-153774201053841850,0,0.11840971594981747,Normal,,1040,545,594.8471806,735.6379,1.908256881,1.833333333,True,1,0
trip-153737849650943585,0,0.10978663278551304,Normal,,817,294,331.144185,393.0005,2.778911565,1.5625,True,1,0
trip-153696784117362845,0,0.165624241409831,Normal,,26,11,9.78291835,14.3436,2.363636364,2.363636364,True,0,0
trip-153736544738083508,0,0.16214746229203136,Normal,,449,228,264.5861471,299.4926,1.969298246,1.5,True,1,0
trip-153825105010477908,0,0.19241435725181777,Normal,,41,24,23.15027835,26.6249,1.708333333,1.708333333,True,1,0
trip-153721834717774994,0,0.1452131242371738,Normal,,503,252,308.4840005,354.9608,1.996031746,2.714285714,True,1,0
trip-153748837556800825,0,0.1737994095289056,Normal,-0.6116666666666667,198,120,154.5734036,170.3734,1.65,1.428571429,True,1,0
trip-153803021267734577,0,0.10614676555638575,Normal,,903,561,550.2869987,780.7378,1.609625668,1.846153846,True,1,0
trip-153805947380180455,0,0.17779948592749223,Normal,,199,103,132.5192781,143.555,1.932038835,2.25,True,1,0
trip-153676184847965228,0,0.16247472392780393,Normal,,46,30,18.68110784,21.0427,1.533333333,3.714285714,True,0,0
trip-153740590892881451,0,0.1367135699183757,Normal,,697,417,441.0890835,552.8299,1.67146283,1.625,True,1,0
trip-1537729431604671000,0,0.07313689621002029,Normal,9.02,580,214,244.1750917,301.1481,2.710280374,0.888888889,True,1,0
trip-153756160073825275,0,0.13021168618804163,Normal,,74,55,40.61842094,53.2518,1.345454545,1.448275862,False,1,0
trip-153750616930299040,0,0.16940671119082973,Normal,4.1433333333333335,65,36,44.82793733,51.1043,1.805555556,1.705882353,True,1,0
trip-153842242935704281,0,0.032339325211075076,Normal,,42,23,19.69367635,22.0462,1.826086957,12.0,False,1,0
trip-153787732283908843,0,0.12612643265431772,Normal,,101,46,59.45742733,65.065,2.195652174,2.583333333,False,0,0
trip-153689157897318487,0,0.157997270520699,Normal,3.1283333333333334,31,25,20.14452387,22.4466,1.24,1.1,True,0,0
trip-153704666810685062,0,0.13108989997406145,Normal,,111,46,45.68925414,58.8717,2.413043478,2.0,False,1,0
trip-153773119907185732,0,0.040513361748350185,Normal,,1679,1037,1128.218416,1374.9672,1.619093539,1.44,True,1,0
trip-153680977852943421,0,0.0356770702823942,Normal,,2049,852,946.6471681,1141.9992,2.404929577,1.35,True,1,0
trip-153748340414198209,0,0.08758218649961935,Normal,,160,128,96.33915545,147.1224,1.25,0.416666667,False,1,0
trip-153750294695556943,0,0.17387419171393376,Normal,-2.2,48,24,18.18866728,26.2305,2.0,2.545454545,True,0,0
trip-153823338126246789,0,0.1831573280987206,Normal,,60,29,27.4852617,33.9678,2.068965517,2.454545455,True,0,0
trip-153714983267647379,0,0.1364700673482896,Normal,5.841666666666667,122,40,27.64700242,33.1407,3.05,1.9375,True,0,0
trip-153826987308367509,0,0.16046381282161265,Normal,,11,8,10.33568937,11.9925,1.375,1.375,True,1,0
trip-153805929645698249,0,0.01965626384624486,Normal,,2178,1081,1210.214852,1472.8136,2.01480111,0.619565217,True,1,0
trip-153841939934496849,1,-0.08833348664673524,Fraud,,2318,1016,1300.710602,1428.0634,2.281496063,-1.0,False,1,0
trip-153705217420105354,1,-0.07271285044375286,Fraud,,3203,1231,1386.097976,1691.0329,2.601949634,1.666666667,True,1,0
trip-153706266462398194,0,0.1841356839818653,Normal,,25,17,22.20013156,25.1922,1.470588235,1.470588235,True,1,0
trip-153842249346496633,0,0.11822783732425912,Normal,,819,492,573.8775624,674.312,1.664634146,1.736842105,True,1,0
trip-153687254478933100,0,0.012460079242965882,Normal,,223,66,41.00203641,59.1844,3.378787879,12.75,False,1,0
trip-153749170748984950,0,0.1895117037175436,Normal,,33,17,24.34029914,24.743,1.941176471,1.941176471,True,1,0
trip-153781275483098963,0,0.18389158510655712,Normal,,30,21,22.45995805,25.0857,1.428571429,1.428571429,True,0,0
trip-153749803263567875,0,0.18384240041680006,Normal,,42,23,21.08680152,23.327,1.826086957,1.4,True,0,0
trip-153672525257659165,0,0.19412962539257012,Normal,,46,24,22.39570504,27.5546,1.916666667,1.916666667,True,1,0
trip-153817149119240375,0,0.11403462596438335,Normal,,277,151,176.7329548,214.0413,1.834437086,1.5625,True,0,0
trip-153805555944969520,0,0.16935302617927622,Normal,,18,9,9.372613743,12.9685,2.0,2.0,True,0,0
trip-153836003366579207,0,0.1370830483350064,Normal,,717,392,378.9544676,539.0409,1.829081633,1.727272727,True,1,0
trip-153758193383565439,0,0.17100208425638785,Normal,,259,155,154.2460526,183.0428,1.670967742,1.24,True,1,0
trip-153714615707596721,0,0.03160326211350639,Normal,11.393333333333333,1162,671,816.4735625,925.7761,1.731743666,1.277777778,True,1,0
trip-153858876340944305,0,0.18225917915605971,Normal,,205,107,88.67787368,110.4393,1.91588785,1.730769231,True,1,0
trip-153796480165411664,0,0.12375230834743411,Normal,,509,309,374.0841536,424.4517,1.647249191,3.105263158,True,1,0
trip-153673591727224910,0,0.11561156466595607,Normal,,94,27,19.84975372,28.2761,3.481481481,2.0,False,0,0
trip-153705953983273040,0,0.18957325287978033,Normal,,34,17,23.75526589,24.4796,2.0,2.0,True,1,0
trip-153758678021538657,0,0.1398149389246105,Normal,,13,15,9.333963843,11.585,0.866666667,0.866666667,True,0,0
trip-153680840074450129,0,0.18137695732230402,Normal,,44,28,21.16029374,24.272,1.571428571,1.133333333,True,0,0
trip-153755476136378416,0,0.15113942014492615,Normal,,504,217,243.1153685,307.9096,2.322580645,1.225806452,True,1,0
trip-153796825920516220,0,0.15544575502693309,Normal,,254,172,155.2686772,216.293,1.476744186,0.414634146,True,1,0
trip-153799938034632401,0,0.08989483688636063,Normal,,1545,791,859.3130885,1084.0872,1.953223767,1.764705882,True,1,0
trip-153732541341066089,0,0.16595338064074655,Normal,,151,62,67.27286589,80.212,2.435483871,1.703703704,True,0,0
trip-153757898143941433,0,0.0040035389281298794,Normal,,214,101,85.67928264,110.4233,2.118811881,12.0,False,0,0
trip-153808811028561946,0,0.12787302925570854,Normal,,887,435,506.365037,580.0234,2.03908046,1.95,True,1,0
trip-153712474460100829,0,0.16112184012928,Normal,,23,24,22.11189523,25.0206,0.958333333,0.958333333,True,0,0
trip-153775750038541173,0,0.16039764730185507,Normal,,312,163,176.924594,212.7843,1.914110429,2.684210526,True,1,0
trip-153713769712630062,0,0.12280770062404389,Normal,,61,45,37.67992222,46.4408,1.355555556,0.3125,False,1,0
trip-153774011167484306,0,0.13451590754535653,Normal,,68,37,24.54636747,33.4997,1.837837838,1.058823529,False,1,0
trip-153716525114345992,1,-0.006786284093425854,Fraud,-7.405,323,103,101.45546,130.3768,3.13592233,7.0,False,0,0
trip-153749626948446385,0,0.11377742585429684,Normal,5.421666666666667,448,205,264.2602993,287.3334,2.185365854,1.705882353,True,1,0
trip-153731116736488318,0,0.08660544277051502,Normal,,1340,606,594.4289162,835.2765,2.211221122,2.235294118,True,1,0
trip-153778550843475587,0,0.1779775765022495,Normal,,109,50,45.38536008,63.4741,2.18,2.1,True,0,0
trip-153721620524441856,0,0.19514022454771973,Normal,,75,45,45.14058064,61.4253,1.666666667,1.555555556,True,1,0
trip-153801210039247977,0,0.17712604713825986,Normal,,63,25,22.41993572,26.7859,2.52,2.52,True,0,0
trip-153708207040838113,0,0.16311532744089374,Normal,,137,46,46.39662548,56.3076,2.97826087,1.166666667,True,0,0
trip-153690132617234777,0,0.07452833209618542,Normal,16.951666666666668,48,21,10.62014379,16.4078,2.285714286,2.285714286,True,0,0
trip-153817125576276770,0,0.1803095334980731,Normal,,31,16,23.15300364,23.7312,1.9375,1.9375,True,0,0
trip-153755977281141414,0,0.056619059987494225,Normal,-5.4783333333333335,68,32,39.49916858,44.2794,2.125,8.0,False,0,0
trip-153816448597565211,1,-0.13923245889911817,Fraud,,2867,1509,1689.208483,2064.8836,1.899933731,1.735294118,False,1,0
trip-153675813938195151,0,0.16971167419340116,Normal,,249,161,154.3927661,192.5801,1.546583851,1.6,True,1,0
trip-153671320807895983,0,0.15372547460868285,Normal,,78,20,27.65111196,28.4,3.9,2.0,True,1,0
trip-153802294243762443,0,0.13255563293471867,Normal,,817,407,418.9353327,512.4057,2.007371007,1.454545455,True,1,0
trip-153730908923708296,1,-0.06677514442483734,Fraud,,3081,1167,1298.437215,1599.1762,2.640102828,2.735294118,True,1,0
trip-153790570321252084,0,0.05500798946652019,Normal,,1713,926,1012.288038,1271.7336,1.849892009,2.88,True,1,0
trip-153837097390448401,0,0.09171941691946278,Normal,,1176,710,748.1273232,967.5196,1.656338028,1.666666667,True,1,0
trip-153729857243999993,0,0.1523104915114349,Normal,,497,282,309.3347077,369.7837,1.762411348,1.625,True,1,0
trip-153743685579451160,0,0.0915040609517197,Normal,,212,74,74.53477526,97.7142,2.864864865,7.333333333,True,0,0
trip-153676093831317129,0,0.1126347142297815,Normal,0.6283333333333333,1088,571,661.259275,784.037,1.905429072,1.75,True,1,0
trip-153693726018240930,0,0.10479150581266067,Normal,6.1,194,87,117.2731572,123.9003,2.229885057,2.222222222,True,0,0
trip-153737964729744558,0,0.16280486074511014,Normal,,333,151,176.8844921,207.0954,2.205298013,2.375,True,1,0
trip-153784682648083916,0,0.03692771171735609,Normal,,2094,1057,1232.027468,1479.5039,1.981078524,2.0,True,1,0
trip-153808796703917735,0,0.09196082867720962,Normal,,24,11,9.71957269,14.1274,2.181818182,4.666666667,False,0,0
trip-153682257242014991,0,0.11165098156379827,Normal,,1204,626,682.8936974,815.8185,1.923322684,1.4,True,1,0
trip-153706526720361043,0,0.026223000700312693,Normal,,885,143,67.42183542,114.8794,6.188811189,1.276923077,True,0,0
trip-153676714973280295,0,0.17329772276580863,Normal,,203,78,108.4601859,111.0094,2.602564103,1.555555556,True,1,0
trip-153707307438150188,0,0.045086160856489976,Normal,,2106,917,1035.79936,1235.4068,2.296619411,1.882352941,True,1,0
trip-153713563716881457,0,0.08044531093104762,Normal,,37,8,9.203129413,10.4722,4.625,4.625,True,1,0
trip-153798208778613999,0,0.09897582236503372,Normal,12.55,21,11,10.36758195,13.4968,1.909090909,1.909090909,True,0,0
trip-153727835293828936,0,0.010407789133258682,Normal,,410,102,132.3902469,144.7547,4.019607843,19.71428571,True,1,0
trip-153797595939274382,0,0.1819341798030672,Normal,,32,18,18.11259882,21.8785,1.777777778,2.0,True,0,0
trip-153678386918787011,0,0.12271303699860203,Normal,,569,285,376.3506512,403.9779,1.996491228,3.555555556,True,1,0
trip-153722448294571122,0,0.021345472628623074,Normal,,2075,1187,1232.844133,1634.952,1.748104465,1.533333333,True,1,0
trip-153674878263631265,0,0.10509491198710114,Normal,,785,424,506.9349659,588.2922,1.851415094,3.466666667,True,1,0
trip-153834981018458546,0,0.17210843398784403,Normal,,20,14,11.20442809,13.7984,1.428571429,1.428571429,True,1,0
trip-153702197646821275,0,0.16038311000978406,Normal,,166,85,89.36374551,108.7974,1.952941176,1.666666667,True,0,0
trip-153781945271407083,0,0.13679629250051883,Normal,,710,383,463.0776596,522.2078,1.853785901,1.296296296,True,1,0
trip-153689566271825596,0,0.015864254799695776,Normal,,188,24,21.13280774,28.182,7.833333333,-1.0,False,0,0
trip-153714281145978614,1,-0.01393515557244851,Fraud,,281,30,22.72021656,33.7975,9.366666667,-1.0,False,0,0
trip-153734062486869290,0,0.10700580705144258,Normal,,60,23,13.21765193,19.4852,2.608695652,4.333333333,False,0,0
trip-153717306559016761,0,0.17105923030090875,Normal,-1.2066666666666668,68,25,25.42757394,35.264,2.72,2.72,True,1,0
trip-153860841527359826,0,0.08622000973820387,Normal,,48,10,9.05137185,14.452,4.8,4.8,True,0,0
trip-153800080035651815,0,0.1862980882934931,Normal,,42,28,26.38663289,30.5634,1.5,1.5,True,0,0
trip-153777476358744813,0,0.15878616990689187,Normal,,18,8,10.1654529,11.0082,2.25,2.25,True,0,0
trip-153778815744501938,0,0.11457924273131204,Normal,,108,28,36.75796623,39.5211,3.857142857,5.428571429,True,1,0
trip-153772887528568190,0,0.17328176781985583,Normal,,77,27,36.10326501,38.2308,2.851851852,2.0,True,0,0
trip-153789829649995554,0,0.09115741192782684,Normal,,1426,750,946.4917436,1019.6053,1.901333333,1.647058824,True,1,0
trip-153712272063128146,0,0.028471716063312114,Normal,,1979,1103,1190.090673,1468.3879,1.794197643,0.815789474,True,1,0
trip-153692032594030173,0,0.13988686136768597,Normal,,573,338,374.7745394,455.0586,1.695266272,1.583333333,True,1,0
trip-153756066760737262,0,0.16175109391561182,Normal,,195,143,179.1501393,194.8109,1.363636364,1.235294118,True,1,0
trip-153782637107304135,0,0.1728348247488638,Normal,,222,122,66.23066193,107.6033,1.819672131,1.181818182,True,1,0
trip-153672000309775410,0,0.16818237425564453,Normal,,285,162,199.3405581,218.2625,1.759259259,1.588235294,True,1,0
trip-153794809854669028,0,0.17505957096330532,Normal,,113,41,44.34744273,48.5107,2.756097561,2.038461538,True,0,0
trip-153861014185597051,0,0.10852125746355001,Normal,,988,395,440.2142306,544.8664,2.501265823,2.272727273,True,1,0
trip-153737025891256705,0,0.10241584491963229,Normal,,178,80,85.67336456,93.528,2.225,1.666666667,False,0,0
trip-153785581841837896,0,0.1336271464725508,Normal,,790,456,506.2223715,594.0172,1.73245614,1.538461538,True,1,0
trip-153819749763881430,0,0.0718284074438727,Normal,,1779,864,1012.704535,1171.7152,2.059027778,2.0,True,1,0
trip-153729997925447945,0,0.18409783615999759,Normal,,92,63,49.8906609,87.2853,1.46031746,1.416666667,True,1,0
trip-153740284546345691,0,0.1693415164163118,Normal,,107,87,66.52471207,103.8433,1.229885057,0.838709677,True,1,0
trip-153769100703690036,0,0.11362101075526515,Normal,,64,50,26.41678997,35.445,1.28,-1.0,False,0,0
trip-153848918224290628,1,-0.12767423238623754,Fraud,14.148333333333333,585,35,32.61558444,47.8665,16.71428571,16.71428571,False,0,0
trip-153721681139941254,0,0.18573688302560892,Normal,,39,26,22.72548549,26.9268,1.5,1.5,True,0,0
trip-153825187248514449,0,0.16747766784972656,Normal,,283,154,142.8222147,166.1654,1.837662338,1.263157895,True,1,0
trip-153711784394951290,0,0.1104203823885394,Normal,,1222,625,771.0130682,841.9743,1.9552,1.55,True,1,0
trip-153712163604495064,0,0.10467116871316251,Normal,7.241666666666666,136,89,110.1027637,121.1476,1.528089888,1.692307692,True,0,0
trip-153734366691439317,0,0.12707855997600587,Normal,-8.806666666666667,187,119,133.2905534,148.6427,1.571428571,1.5625,True,1,0
trip-153847272662458622,0,0.18950168230191095,Normal,,30,17,22.98634564,25.1955,1.764705882,1.764705882,True,1,0
trip-153741733554446353,1,-0.034298566077934245,Fraud,-21.18,78,12,11.18354979,16.2901,6.5,2.5,False,0,0
trip-153776123131675186,0,0.16855972221336973,Normal,,19,11,10.60461145,11.4629,1.727272727,1.727272727,True,0,0
trip-153859860854468419,0,0.15712961444142948,Normal,,24,27,18.33782053,24.6244,0.888888889,1.0,True,0,0
trip-153837029526866991,0,0.12718247204508187,Normal,1.6133333333333333,462,234,243.1289955,330.316,1.974358974,0.347826087,True,1,0
trip-153797263397045305,0,0.11763697966538639,Normal,,931,513,550.607759,658.0391,1.814814815,2.368421053,True,1,0
trip-153809176030287456,0,0.16464731811751948,Normal,-1.2466666666666666,83,26,28.30963809,34.084,3.192307692,1.375,True,0,0
trip-153796618095574486,0,0.19112799682302894,Normal,,35,18,23.98610996,25.5568,1.944444444,1.944444444,True,1,0
trip-153764157043636106,0,0.19113671520028858,Normal,,105,59,67.3681164,82.3315,1.779661017,1.882352941,True,1,0
trip-153803683878704599,0,0.13209375479165714,Normal,,785,448,484.2117492,570.829,1.752232143,1.285714286,True,1,0
trip-153814369747664517,0,0.14448072734387052,Normal,-5.508333333333334,267,109,132.204374,153.8879,2.449541284,1.944444444,True,1,0
trip-153786712501643905,0,0.08264831081768975,Normal,,208,123,109.2437473,124.3018,1.691056911,1.3,False,0,0
trip-153783214370762813,0,0.19046187367335093,Normal,,36,21,22.02768049,23.2711,1.714285714,1.714285714,True,1,0
trip-153816378718520553,0,0.08281761469793564,Normal,,1393,829,858.3095939,1091.1214,1.680337756,1.529411765,True,1,0
trip-153695666746702071,0,0.17545248766132227,Normal,,87,71,58.15009949,67.9055,1.225352113,1.0,True,1,0
trip-153845541628151872,0,0.07167613649187227,Normal,-7.27,82,24,30.22915898,33.9214,3.416666667,4.0,False,0,0
trip-153735668652379729,0,0.18893871949992813,Normal,,105,45,49.97550119,63.3047,2.333333333,2.346153846,True,1,0
trip-153827839937641823,0,0.1277674220130336,Normal,,843,404,440.3272169,563.1599,2.086633663,1.3,True,1,0
trip-153712734233194155,0,0.19365209500018576,Normal,,48,25,22.0036969,34.4854,1.92,1.92,True,1,0
trip-153726477271073394,0,0.08917005459273264,Normal,,395,219,242.431816,290.3415,1.803652968,1.678571429,True,0,0
trip-153844420241022287,0,0.18109595649369825,Normal,,35,17,23.80690387,24.611,2.058823529,2.058823529,True,0,0
trip-153778815744501938,0,0.1570726329626858,Normal,,152,45,58.02959137,64.6345,3.377777778,2.2,True,1,0
trip-153714615114839262,0,0.11996513160058242,Normal,12.871666666666666,31,21,27.9172211,29.8265,1.476190476,1.833333333,True,1,0
trip-153704844310090347,0,0.08163758441080299,Normal,,1479,788,859.1438442,1079.1443,1.876903553,0.833333333,True,1,0
