data,trip_creation_time,route_schedule_uuid,route_type,trip_uuid,source_center,source_name,destination_center,destination_name,od_start_time,od_end_time,start_scan_to_end_scan,is_cutoff,cutoff_factor,cutoff_timestamp,actual_distance_to_destination,actual_time,osrm_time,osrm_distance,factor,segment_actual_time,segment_osrm_time,segment_osrm_distance,segment_factor,delivery_time_hours,duplicate_flag,same_city
test,16:29.6,thanos::sroute:a3414a57-5b1f-4cc0-bf8e-1a46456c9f53,FTL,trip-153816218960151511,IND416012AAA,Kolhapur_Shivaji_I (Maharashtra),IND395023AAA,Surat_HUB (Gujarat),23:26.5,22:28.5,899,TRUE,242,29-09-2018 21:50,243.0414658,440,216,295.5176,2.037037037,34,20,26.8168,1.7,14.98388962,1,0
training,46:38.0,thanos::sroute:87643cee-18e1-48a0-bb6b-95e206f01c98,Carting,trip-153736839798997660,IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),IND110064AAA,Delhi_Mayapuri_PC (Delhi),46:38.0,40:14.9,233,TRUE,27,19-09-2018 17:33,27.16372313,57,38,34.7886,1.5,11,9,10.1757,1.222222222,3.893594688,0,0
training,02:39.7,thanos::sroute:ff6d6662-580b-43c3-810c-ba3027000f79,Carting,trip-153720015972108444,IND144001AAC,Jalandhar_Sodal Road (Punjab),IND160002AAC,Chandigarh_Mehmdpur_H (Punjab),02:39.7,30:00.5,387,TRUE,144,17-09-2018 18:14,144.0283721,238,109,155.3678,2.183486239,12,6,8.5244,2,6.455768443,1,0
training,24:42.7,thanos::sroute:64d4c6c9-ffb9-4794-b9f1-05f064c9dd0d,FTL,trip-153697108267651886,IND110037AAM,Delhi_Airport_H (Delhi),IND421302AAG,Bhiwandi_Mankoli_HB (Maharashtra),24:42.7,55:55.6,2491,TRUE,902,15-09-2018 11:36,902.4852047,1724,818,1130.9626,2.107579462,42,24,33.4093,1.75,41.52026083,0,0
training,08:09.8,thanos::sroute:18104c25-811c-4b93-8c92-8c6923c879cb,FTL,trip-153778368981951440,IND421302AAG,Bhiwandi_Mankoli_HB (Maharashtra),IND562132AAA,Bangalore_Nelmngla_H (Karnataka),08:09.8,05:28.2,1677,TRUE,682,24-09-2018 21:23,682.6454177,999,563,782.8277,1.774422735,41,34,29.8959,1.205882353,27.95511583,1,0
training,30:38.1,thanos::sroute:2c33e360-7e52-4d2c-a9db-fe24996829c7,FTL,trip-153771663814650935,IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),IND501359AAE,Hyderabad_Shamshbd_H (Telangana),30:38.1,32:16.0,2761,TRUE,506,24-09-2018 23:03,506.3332457,793,464,620.1297,1.709051724,21,16,23.1407,1.3125,46.0271844,1,0
training,33:52.9,thanos::sroute:a3414a57-5b1f-4cc0-bf8e-1a46456c9f53,FTL,trip-153686723285930284,IND395023AAA,Surat_HUB (Gujarat),IND382430AAB,Ahmedabad_East_H_1 (Gujarat),07:36.2,57:55.2,590,TRUE,176,15-09-2018 11:04,176.3766209,276,158,216.2252,1.746835443,46,20,24.3261,2.3,9.838620664,1,0
test,14:16.3,thanos::sroute:51d8aa58-9b5b-4bc2-81e9-bb284c6b3293,FTL,trip-153815125628803935,IND825409AAA,JhumriTlya_RadhaCpx_D (Jharkhand),IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),01:18.2,36:01.3,1534,TRUE,572,29-09-2018 16:50,572.7199083,764,471,623.8546,1.622080679,23,19,28.1019,1.210526316,25.57865736,1,0
test,54:18.8,thanos::sroute:55f92e5f-4e98-4f2c-944d-98aceb61525b,FTL,trip-153807805877901759,IND854326AAB,Purnia_Central_H_2 (Bihar),IND852131AAA,Supaul_SadrHsptl_D (Bihar),54:18.8,06:42.4,372,TRUE,44,28-09-2018 00:23,45.34492511,65,35,50.7266,1.857142857,35,19,27.0562,1.842105263,6.206557378,1,0
training,52:21.6,thanos::sroute:14c55592-ba2e-4f72-820c-3a22334137cd,FTL,trip-153785834163684464,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND462022AAA,Bhopal_Trnsport_H (Madhya Pradesh),52:21.6,43:42.0,2151,TRUE,396,26-09-2018 03:27,396.240252,894,381,536.1104,2.346456693,60,34,48.7004,1.764705882,35.85564355,1,0
